id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
76,HATFLDE,3,0,0,first_order,2.728742131008642e-6,0.0008320808410644531,29,5.750779444413677e-7,0.0,37,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,HATFLDFL,3,0,0,max_time,6.016671702072249e-5,30.00001287460327,826884,0.0002685863338151217,0.0,21196286,1647704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,HATFLDFLS,3,0,0,first_order,4.156782955131945e-17,0.0008120536804199219,70,2.4486272303668137e-8,0.0,88,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,HATFLDGLS,25,0,0,first_order,2.230217647869715e-13,0.0010578632354736328,66,4.956119520066826e-7,0.0,80,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,HEART6LS,6,0,0,max_time,16.678171391437136,30.00001096725464,2485394,0.26106746558357796,0.0,4391534,4391377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,HEART8LS,8,0,0,first_order,3.917576352784933e-12,0.014976978302001953,1180,3.302028417860579e-6,0.0,1405,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,HELIX,3,0,0,first_order,3.873682863535356e-13,0.0004191398620605469,28,2.1199416779882895e-5,0.0,45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,HIELOW,3,0,0,first_order,874.1654321149672,0.07208514213562012,32,2.40361145820822e-5,0.0,48,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,HILBERTA,2,0,0,first_order,3.219687691054195e-17,0.0001671314239501953,5,9.034621627078741e-9,0.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,HILBERTB,10,0,0,first_order,1.957256161845549e-18,0.0003998279571533203,6,6.261251343314978e-9,0.0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,HIMMELBB,2,0,0,first_order,5.219575767588504e-11,0.00019311904907226562,6,0.002083926142516589,0.0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,HIMMELBCLS,2,0,0,first_order,2.7775723536375262e-15,0.0002269744873046875,8,5.043720186738751e-7,0.0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,HIMMELBF,4,0,0,first_order,318.5717487911244,0.0009138584136962891,75,2.4227993260353476e-5,0.0,106,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
